id,name,version,chain,author_name,author_id,created_at,mint_opens_at,supply,iterations_count
9334,HandiPot,fxhash 1.0 (Tezos),TEZOS,testing,tz1boWDJYFfMMnBAtrU9eg8WgPqi9AtdN2M3,2022-02-14T06:54:44+00:00,2022-02-14T09:54:44+00:00,2,2
9335,Waver,fxhash 1.0 (Tezos),TEZOS,Mixblocks,tz1fVNwmfddkagHmHCNQdr2uG76L51DReQHf,2022-02-14T07:04:14+00:00,2022-02-14T10:04:14+00:00,51,51
9336,Eternal Nightmare,fxhash 1.0 (Tezos),TEZOS,0xDwarf,tz1Rk5nmU1bZsydxrGiiu7a3FyJWvQeH3g7Z,2022-02-14T07:17:14+00:00,2022-02-14T10:17:14+00:00,1,1
9337,Lego Tower,fxhash 1.0 (Tezos),TEZOS,dadiguz,tz1LSDPbrDdFQt6j9t2DgKqb8HKTLLXmUo5D,2022-02-14T07:29:44+00:00,2022-02-14T10:29:44+00:00,100,100
9338,Abstract Art,fxhash 1.0 (Tezos),TEZOS,Sabha,tz1PSXjV2KVtZzxxVqQdCtJhWUAE4rFy3gyN,2022-02-14T07:40:44+00:00,2022-02-14T10:40:44+00:00,63,63
9339,Road system,fxhash 1.0 (Tezos),TEZOS,nontooth,tz29qfMTpttipJopXkgxHHXBhTaU9g1z9a85,2022-02-14T07:53:44+00:00,2022-02-14T07:53:44+00:00,12,12
9340,ASCII Squigl 2,fxhash 1.0 (Tezos),TEZOS,hic et squigl,tz1RYtLSRUZv5dQf3nb2KmrGyfiAhYSWC1wh,2022-02-14T08:02:14+00:00,2022-02-14T11:02:14+00:00,53,53
9342,Frozen Pilgrims,fxhash 1.0 (Tezos),TEZOS,frenchtoast_fella,tz1e8h7pA6r6sZB2ZPXHTzYbQfDcRjsqZr1x,2022-02-14T08:17:44+00:00,2022-02-14T11:17:44+00:00,2,2
9343,KALEID,fxhash 1.0 (Tezos),TEZOS,Generatore,tz1MjrkB48VxhKQARR3U95bTRoEZJAajvZR5,2022-02-14T08:33:24+00:00,2022-02-14T08:33:24+00:00,6,6
9344,Valentine Card,fxhash 1.0 (Tezos),TEZOS,not jjjjjohn,tz1SvbkcgNVDvvgC3oqVK7Qb2Sf7rcWR6LZ9,2022-02-14T08:39:54+00:00,2022-02-14T11:39:54+00:00,90,90
9345,Stone Packing,fxhash 1.0 (Tezos),TEZOS,Volatile Moods,tz1e2JfJR934E58Xa9FFR3dVoiMKH4AT1iji,2022-02-14T08:48:54+00:00,2022-02-14T08:48:54+00:00,34,34
